time,e,p,i,pi,Kp,Ki,dt,fe
1,0,0,0,0,0,1,0.02,0
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,0,0.02,0.02,,,,
22,1,0,0.04,0.04,,,,
23,1,0,0.06,0.06,,,,
24,1,0,0.08,0.08,,,,
25,1,0,0.1,0.1,,,,
26,1,0,0.12,0.12,,,,
27,1,0,0.14,0.14,,,,
28,1,0,0.16,0.16,,,,
29,1,0,0.18,0.18,,,,
30,1,0,0.2,0.2,,,,
31,1,0,0.22,0.22,,,,
32,1,0,0.24,0.24,,,,
33,1,0,0.26,0.26,,,,
34,1,0,0.28,0.28,,,,
35,1,0,0.3,0.3,,,,
36,1,0,0.32,0.32,,,,
37,1,0,0.34,0.34,,,,
38,1,0,0.36,0.36,,,,
39,1,0,0.38,0.38,,,,
40,1,0,0.4,0.4,,,,
41,1,0,0.42,0.42,,,,
42,1,0,0.44,0.44,,,,
43,1,0,0.46,0.46,,,,
44,1,0,0.48,0.48,,,,
45,1,0,0.5,0.5,,,,
46,1,0,0.52,0.52,,,,
47,1,0,0.54,0.54,,,,
48,1,0,0.56,0.56,,,,
49,1,0,0.58,0.58,,,,
50,1,0,0.6,0.6,,,,
51,1,0,0.62,0.62,,,,
52,1,0,0.64,0.64,,,,
53,1,0,0.66,0.66,,,,
54,1,0,0.68,0.68,,,,
55,1,0,0.7,0.7,,,,
56,1,0,0.72,0.72,,,,
57,1,0,0.74,0.74,,,,
58,1,0,0.76,0.76,,,,
59,1,0,0.78,0.78,,,,
60,1,0,0.8,0.8,,,,
61,1,0,0.82,0.82,,,,
62,1,0,0.84,0.84,,,,
63,1,0,0.86,0.86,,,,
64,1,0,0.88,0.88,,,,
65,1,0,0.9,0.9,,,,
66,1,0,0.92,0.92,,,,
67,1,0,0.94,0.94,,,,
68,1,0,0.96,0.96,,,,
69,1,0,0.98,0.98,,,,
70,1,0,1,1,,,,
71,1,0,1.02,1.02,,,,
72,1,0,1.04,1.04,,,,
73,1,0,1.06,1.06,,,,
74,1,0,1.08,1.08,,,,
75,1,0,1.1,1.1,,,,
76,1,0,1.12,1.12,,,,
77,1,0,1.14,1.14,,,,
78,1,0,1.16,1.16,,,,
79,1,0,1.18,1.18,,,,
80,1,0,1.2,1.2,,,,
81,1,0,1.22,1.22,,,,
82,1,0,1.24,1.24,,,,
83,1,0,1.26,1.26,,,,
84,1,0,1.28,1.28,,,,
85,1,0,1.3,1.3,,,,
86,1,0,1.32,1.32,,,,
87,1,0,1.34,1.34,,,,
88,1,0,1.36,1.36,,,,
89,1,0,1.38,1.38,,,,
90,1,0,1.4,1.4,,,,
91,1,0,1.42,1.42,,,,
92,1,0,1.44,1.44,,,,
93,1,0,1.46,1.46,,,,
94,1,0,1.48,1.48,,,,
95,1,0,1.5,1.5,,,,
96,1,0,1.52,1.52,,,,
97,1,0,1.54,1.54,,,,
98,1,0,1.56,1.56,,,,
99,1,0,1.58,1.58,,,,
100,1,0,1.6,1.6,,,,
