time,e,p,d,pd,Kp,Kd,dt,fe
1,0,0,0,0,1,0.09,0.01,0.1
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,1,9,10,,,,
22,0,0,-9,-9,,,,
23,0.9,0.9,8.1,9,,,,
24,0,0,-8.1,-8.1,,,,
25,0.81,0.81,7.29,8.1,,,,
26,0,0,-7.29,-7.29,,,,
27,0.729,0.729,6.561,7.29,,,,
28,0,0,-6.561,-6.561,,,,
29,0.6561,0.6561,5.9049,6.561,,,,
30,0,0,-5.9049,-5.9049,,,,
31,0.59049,0.59049,5.31441,5.9049,,,,
32,0,0,-5.31441,-5.31441,,,,
33,0.531441,0.531441,4.782969,5.31441,,,,
34,0,0,-4.782969,-4.782969,,,,
35,0.4782969,0.4782969,4.3046721,4.782969,,,,
36,0,0,-4.3046721,-4.3046721,,,,
37,0.43046721,0.43046721,3.87420489,4.3046721,,,,
38,0,0,-3.87420489,-3.87420489,,,,
39,0.387420489,0.387420489,3.486784401,3.87420489,,,,
40,0,0,-3.486784401,-3.486784401,,,,
41,0.34867844,0.34867844,3.138105961,3.486784401,,,,
42,0,0,-3.138105961,-3.138105961,,,,
43,0.313810596,0.313810596,2.824295365,3.138105961,,,,
44,0,0,-2.824295365,-2.824295365,,,,
45,0.282429536,0.282429536,2.541865828,2.824295365,,,,
46,0,0,-2.541865828,-2.541865828,,,,
47,0.254186583,0.254186583,2.287679245,2.541865828,,,,
48,0,0,-2.287679245,-2.287679245,,,,
49,0.228767925,0.228767925,2.058911321,2.287679245,,,,
50,0,0,-2.058911321,-2.058911321,,,,
51,0.205891132,0.205891132,1.853020189,2.058911321,,,,
52,0,0,-1.853020189,-1.853020189,,,,
53,0.185302019,0.185302019,1.66771817,1.853020189,,,,
54,0,0,-1.66771817,-1.66771817,,,,
55,0.166771817,0.166771817,1.500946353,1.66771817,,,,
56,0,0,-1.500946353,-1.500946353,,,,
57,0.150094635,0.150094635,1.350851718,1.500946353,,,,
58,0,0,-1.350851718,-1.350851718,,,,
59,0.135085172,0.135085172,1.215766546,1.350851718,,,,
60,0,0,-1.215766546,-1.215766546,,,,
61,0.121576655,0.121576655,1.094189891,1.215766546,,,,
62,0,0,-1.094189891,-1.094189891,,,,
63,0.109418989,0.109418989,0.984770902,1.094189891,,,,
64,0,0,-0.984770902,-0.984770902,,,,
65,0.09847709,0.09847709,0.886293812,0.984770902,,,,
66,0,0,-0.886293812,-0.886293812,,,,
67,0.088629381,0.088629381,0.797664431,0.886293812,,,,
68,0,0,-0.797664431,-0.797664431,,,,
69,0.079766443,0.079766443,0.717897988,0.797664431,,,,
70,0,0,-0.717897988,-0.717897988,,,,
71,0.071789799,0.071789799,0.646108189,0.717897988,,,,
72,0,0,-0.646108189,-0.646108189,,,,
73,0.064610819,0.064610819,0.58149737,0.646108189,,,,
74,0,0,-0.58149737,-0.58149737,,,,
75,0.058149737,0.058149737,0.523347633,0.58149737,,,,
76,0,0,-0.523347633,-0.523347633,,,,
77,0.052334763,0.052334763,0.47101287,0.523347633,,,,
78,0,0,-0.47101287,-0.47101287,,,,
79,0.047101287,0.047101287,0.423911583,0.47101287,,,,
80,0,0,-0.423911583,-0.423911583,,,,
81,0.042391158,0.042391158,0.381520424,0.423911583,,,,
82,0,0,-0.381520424,-0.381520424,,,,
83,0.038152042,0.038152042,0.343368382,0.381520424,,,,
84,0,0,-0.343368382,-0.343368382,,,,
85,0.034336838,0.034336838,0.309031544,0.343368382,,,,
86,0,0,-0.309031544,-0.309031544,,,,
87,0.030903154,0.030903154,0.278128389,0.309031544,,,,
88,0,0,-0.278128389,-0.278128389,,,,
89,0.027812839,0.027812839,0.25031555,0.278128389,,,,
90,0,0,-0.25031555,-0.25031555,,,,
91,0.025031555,0.025031555,0.225283995,0.25031555,,,,
92,0,0,-0.225283995,-0.225283995,,,,
93,0.0225284,0.0225284,0.202755596,0.225283995,,,,
94,0,0,-0.202755596,-0.202755596,,,,
95,0.02027556,0.02027556,0.182480036,0.202755596,,,,
96,0,0,-0.182480036,-0.182480036,,,,
97,0.018248004,0.018248004,0.164232033,0.182480036,,,,
98,0,0,-0.164232033,-0.164232033,,,,
99,0.016423203,0.016423203,0.147808829,0.164232033,,,,
100,0,0,-0.147808829,-0.147808829,,,,
