time,e,p,d,pd,Kp,Kd,dt,fe
1,0,0,0,0,1,0.01,0.01,0.1
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,1,1,2,,,,
22,0.8,0.8,-0.2,0.6,,,,
23,0.74,0.74,-0.06,0.68,,,,
24,0.672,0.672,-0.068,0.604,,,,
25,0.6116,0.6116,-0.0604,0.5512,,,,
26,0.55648,0.55648,-0.05512,0.50136,,,,
27,0.506344,0.506344,-0.050136,0.456208,,,,
28,0.4607232,0.4607232,-0.0456208,0.4151024,,,,
29,0.41921296,0.41921296,-0.04151024,0.37770272,,,,
30,0.381442688,0.381442688,-0.037770272,0.343672416,,,,
31,0.347075446,0.347075446,-0.034367242,0.312708205,,,,
32,0.315804626,0.315804626,-0.03127082,0.284533805,,,,
33,0.287351245,0.287351245,-0.028453381,0.258897865,,,,
34,0.261461459,0.261461459,-0.025889786,0.235571672,,,,
35,0.237904292,0.237904292,-0.023557167,0.214347124,,,,
36,0.216469579,0.216469579,-0.021434712,0.195034867,,,,
37,0.196966093,0.196966093,-0.019503487,0.177462606,,,,
38,0.179219832,0.179219832,-0.017746261,0.161473571,,,,
39,0.163072475,0.163072475,-0.016147357,0.146925118,,,,
40,0.148379963,0.148379963,-0.014692512,0.133687451,,,,
41,0.135011218,0.135011218,-0.013368745,0.121642473,,,,
42,0.122846971,0.122846971,-0.012164247,0.110682723,,,,
43,0.111778698,0.111778698,-0.011068272,0.100710426,,,,
44,0.101707656,0.101707656,-0.010071043,0.091636613,,,,
45,0.092543994,0.092543994,-0.009163661,0.083380333,,,,
46,0.084205961,0.084205961,-0.008338033,0.075867928,,,,
47,0.076619168,0.076619168,-0.007586793,0.069032376,,,,
48,0.069715931,0.069715931,-0.006903238,0.062812693,,,,
49,0.063434661,0.063434661,-0.006281269,0.057153392,,,,
50,0.057719322,0.057719322,-0.005715339,0.052003983,,,,
51,0.052518924,0.052518924,-0.005200398,0.047318526,,,,
52,0.047787071,0.047787071,-0.004731853,0.043055219,,,,
53,0.043481549,0.043481549,-0.004305522,0.039176028,,,,
54,0.039563947,0.039563947,-0.003917603,0.035646344,,,,
55,0.035999312,0.035999312,-0.003564634,0.032434678,,,,
56,0.032755845,0.032755845,-0.003243468,0.029512377,,,,
57,0.029804607,0.029804607,-0.002951238,0.026853369,,,,
58,0.02711927,0.02711927,-0.002685337,0.024433933,,,,
59,0.024675877,0.024675877,-0.002443393,0.022232483,,,,
60,0.022452628,0.022452628,-0.002223248,0.02022938,,,,
61,0.02042969,0.02042969,-0.002022938,0.018406752,,,,
62,0.018589015,0.018589015,-0.001840675,0.01674834,,,,
63,0.016914181,0.016914181,-0.001674834,0.015239347,,,,
64,0.015390246,0.015390246,-0.001523935,0.013866312,,,,
65,0.014003615,0.014003615,-0.001386631,0.012616984,,,,
66,0.012741917,0.012741917,-0.001261698,0.011480218,,,,
67,0.011593895,0.011593895,-0.001148022,0.010445873,,,,
68,0.010549308,0.010549308,-0.001044587,0.00950472,,,,
69,0.009598836,0.009598836,-0.000950472,0.008648364,,,,
70,0.008733999,0.008733999,-0.000864836,0.007869163,,,,
71,0.007947083,0.007947083,-0.000786916,0.007160167,,,,
72,0.007231066,0.007231066,-0.000716017,0.00651505,,,,
73,0.006579561,0.006579561,-0.000651505,0.005928056,,,,
74,0.005986756,0.005986756,-0.000592806,0.00539395,,,,
75,0.005447361,0.005447361,-0.000539395,0.004907966,,,,
76,0.004956564,0.004956564,-0.000490797,0.004465768,,,,
77,0.004509987,0.004509987,-0.000446577,0.004063411,,,,
78,0.004103646,0.004103646,-0.000406341,0.003697305,,,,
79,0.003733916,0.003733916,-0.000369731,0.003364185,,,,
80,0.003397497,0.003397497,-0.000336419,0.003061079,,,,
81,0.003091389,0.003091389,-0.000306108,0.002785282,,,,
82,0.002812861,0.002812861,-0.000278528,0.002534333,,,,
83,0.002559428,0.002559428,-0.000253433,0.002305995,,,,
84,0.002328828,0.002328828,-0.000230599,0.002098229,,,,
85,0.002119006,0.002119006,-0.000209823,0.001909183,,,,
86,0.001928087,0.001928087,-0.000190918,0.001737169,,,,
87,0.00175437,0.00175437,-0.000173717,0.001580653,,,,
88,0.001596305,0.001596305,-0.000158065,0.00143824,,,,
89,0.001452481,0.001452481,-0.000143824,0.001308657,,,,
90,0.001321615,0.001321615,-0.000130866,0.00119075,,,,
91,0.00120254,0.00120254,-0.000119075,0.001083465,,,,
92,0.001094194,0.001094194,-0.000108347,0.000985847,,,,
93,0.000995609,0.000995609,-9.85847E-05,0.000897024,,,,
94,0.000905907,0.000905907,-8.97024E-05,0.000816204,,,,
95,0.000824286,0.000824286,-8.16204E-05,0.000742666,,,,
96,0.00075002,0.00075002,-7.42666E-05,0.000675753,,,,
97,0.000682444,0.000682444,-6.75753E-05,0.000614869,,,,
98,0.000620957,0.000620957,-6.14869E-05,0.000559471,,,,
99,0.00056501,0.00056501,-5.59471E-05,0.000509063,,,,
100,0.000514104,0.000514104,-5.09063E-05,0.000463198,,,,
