time,e,p,i,pi,Kp,Ki,dt,fe
1,0,0,0,0,0.5,300,0.02,0.5
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,0.5,6,6.5,,,,
22,-2.25,-1.125,-7.5,-8.625,,,,
23,2.0625,1.03125,4.875,5.90625,,,,
24,-0.890625,-0.4453125,-0.46875,-0.9140625,,,,
25,-0.43359375,-0.216796875,-3.0703125,-3.287109375,,,,
26,1.209960938,0.604980469,4.189453125,4.794433594,,,,
27,-1.187255859,-0.59362793,-2.934082031,-3.527709961,,,,
28,0.576599121,0.288299561,0.525512695,0.813812256,,,,
29,0.169692993,0.084846497,1.543670654,1.628517151,,,,
30,-0.644565582,-0.322282791,-2.323722839,-2.64600563,,,,
31,0.678437233,0.339218616,1.746900558,2.086119175,,,,
32,-0.364622355,-0.182311177,-0.440833569,-0.623144746,,,,
33,-0.053049982,-0.026524991,-0.759133458,-0.785658449,,,,
34,0.339779243,0.169889621,1.279541999,1.449431621,,,,
35,-0.384936567,-0.192468284,-1.030077405,-1.222545689,,,,
36,0.226336277,0.113168139,0.327940257,0.441108396,,,,
37,0.005782079,0.00289104,0.362632732,0.365523772,,,,
38,-0.176979807,-0.088489903,-0.699246108,-0.787736012,,,,
39,0.216888199,0.1084441,0.602083086,0.710527186,,,,
40,-0.138375394,-0.069187697,-0.228169276,-0.297356973,,,,
41,0.010303093,0.005151546,-0.166350719,-0.161199173,,,,
42,0.090902679,0.04545134,0.379065356,0.424516696,,,,
43,-0.121355669,-0.060677834,-0.349068656,-0.40974649,,,,
44,0.083517576,0.041758788,0.152036803,0.193795591,,,,
45,-0.013380219,-0.00669011,0.071755488,0.065065379,,,,
46,-0.045912909,-0.022956454,-0.203721963,-0.226678417,,,,
47,0.0674263,0.03371315,0.200835837,0.234548987,,,,
48,-0.049848194,-0.024924097,-0.098253324,-0.123177421,,,,
49,0.011740517,0.005870258,-0.027810222,-0.021939964,,,,
50,0.022710499,0.011355249,0.108452771,0.119808021,,,,
51,-0.037193511,-0.018596756,-0.114708297,-0.133305053,,,,
52,0.029459015,0.014729508,0.062045793,0.076775301,,,,
53,-0.008928635,-0.004464318,0.008473982,0.004009664,,,,
54,-0.010933467,-0.005466734,-0.057126822,-0.062593555,,,,
55,0.02036331,0.010181655,0.065053041,0.075234696,,,,
56,-0.017254038,-0.008627019,-0.038471185,-0.047098204,,,,
57,0.006295064,0.003147532,-0.0007008,0.002446733,,,,
58,0.005071698,0.002535849,0.029729388,0.032265237,,,,
59,-0.011060921,-0.00553046,-0.036636136,-0.042166596,,,,
60,0.010022377,0.005011189,0.023498128,0.028509317,,,,
61,-0.004232281,-0.002116141,-0.001895559,-0.004011699,,,,
62,-0.002226432,-0.001113216,-0.015254148,-0.016367364,,,,
63,0.00595725,0.002978625,0.020489354,0.023467979,,,,
64,-0.005776739,-0.00288837,-0.014171081,-0.017059451,,,,
65,0.002752986,0.001376493,0.002346836,0.00372333,,,,
66,0.000891322,0.000445661,0.007694766,0.008140426,,,,
67,-0.003178892,-0.001589446,-0.011378584,-0.01296803,,,,
68,0.003305123,0.001652562,0.008452156,0.010104718,,,,
69,-0.001747236,-0.000873618,-0.002031257,-0.002904875,,,,
70,-0.000294798,-0.000147399,-0.003800046,-0.003947445,,,,
71,0.001678924,0.000839462,0.0062735,0.007112962,,,,
72,-0.001877557,-0.000938778,-0.004991841,-0.005930619,,,,
73,0.001087753,0.000543876,0.001534676,0.002078552,,,,
74,4.84767E-05,2.42383E-05,0.001825536,0.001849774,,,,
75,-0.00087641,-0.000438205,-0.003432927,-0.003871132,,,,
76,0.001059155,0.000529578,0.002922006,0.003451584,,,,
77,-0.000666637,-0.000333318,-0.001077813,-0.001411131,,,,
78,3.89291E-05,1.94645E-05,-0.000844238,-0.000824774,,,,
79,0.000451316,0.000225658,0.001863658,0.002089316,,,,
80,-0.000593342,-0.000296671,-0.001696393,-0.001993064,,,,
81,0.00040319,0.000201595,0.000722748,0.000924344,,,,
82,-5.89815E-05,-2.94907E-05,0.00036886,0.000339369,,,,
83,-0.000228666,-0.000114333,-0.001003136,-0.001117469,,,,
84,0.000330068,0.000165034,0.000977275,0.001142309,,,,
85,-0.000241086,-0.000120543,-0.000469242,-0.000589785,,,,
86,5.38064E-05,2.69032E-05,-0.000146404,-0.000119501,,,,
87,0.000113557,5.67783E-05,0.000534936,0.000591715,,,,
88,-0.000182301,-9.11503E-05,-0.000558867,-0.000650018,,,,
89,0.000142708,7.13541E-05,0.000297382,0.000368736,,,,
90,-4.16599E-05,-2.08299E-05,4.74229E-05,2.6593E-05,,,,
91,-5.49564E-05,-2.74782E-05,-0.000282315,-0.000309793,,,,
92,9.99404E-05,4.99702E-05,0.000317327,0.000367297,,,,
93,-8.37082E-05,-4.18541E-05,-0.000184922,-0.000226776,,,,
94,2.96799E-05,1.484E-05,-6.84246E-06,7.99751E-06,,,,
95,2.56812E-05,1.28406E-05,0.000147245,0.000160085,,,,
96,-5.43615E-05,-2.71807E-05,-0.000178924,-0.000206105,,,,
97,4.86909E-05,2.43455E-05,0.000113222,0.000137567,,,,
98,-2.00926E-05,-1.00463E-05,-7.33387E-06,-1.73801E-05,,,,
99,-1.14025E-05,-5.70124E-06,-7.57488E-05,-8.145E-05,,,,
100,2.93225E-05,1.46613E-05,0.000100186,0.000114848,,,,
