time,e,p,i,pi,Kp,Ki,dt,fe
1,0,0,0,0,1,10,0.02,0.5
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,1,0.2,1.2,,,,
22,0.4,0.4,0.28,0.68,,,,
23,0.06,0.06,0.292,0.352,,,,
24,-0.116,-0.116,0.2688,0.1528,,,,
25,-0.1924,-0.1924,0.23032,0.03792,,,,
26,-0.21136,-0.21136,0.188048,-0.023312,,,,
27,-0.199704,-0.199704,0.1481072,-0.0515968,,,,
28,-0.1739056,-0.1739056,0.11332608,-0.06057952,,,,
29,-0.14361584,-0.14361584,0.084602912,-0.059012928,,,,
30,-0.114109376,-0.114109376,0.061781037,-0.052328339,,,,
31,-0.087945206,-0.087945206,0.044191996,-0.043753211,,,,
32,-0.066068601,-0.066068601,0.030978275,-0.035090326,,,,
33,-0.048523438,-0.048523438,0.021273588,-0.02724985,,,,
34,-0.034898513,-0.034898513,0.014293885,-0.020604628,,,,
35,-0.024596199,-0.024596199,0.009374645,-0.015221554,,,,
36,-0.016985422,-0.016985422,0.005977561,-0.011007861,,,,
37,-0.011481492,-0.011481492,0.003681263,-0.007800229,,,,
38,-0.007581377,-0.007581377,0.002164987,-0.00541639,,,,
39,-0.004873182,-0.004873182,0.001190351,-0.003682831,,,,
40,-0.003031766,-0.003031766,0.000583997,-0.002447769,,,,
41,-0.001807882,-0.001807882,0.000222421,-0.001585461,,,,
42,-0.001015152,-0.001015152,1.93908E-05,-0.000995761,,,,
43,-0.000517271,-0.000517271,-8.40635E-05,-0.000601335,,,,
44,-0.000216604,-0.000216604,-0.000127384,-0.000343988,,,,
45,-4.46098E-05,-4.46098E-05,-0.000136306,-0.000180916,,,,
46,4.58482E-05,4.58482E-05,-0.000127137,-8.12884E-05,,,,
47,8.64924E-05,8.64924E-05,-0.000109838,-2.33457E-05,,,,
48,9.81652E-05,9.81652E-05,-9.0205E-05,7.96019E-06,,,,
49,9.41851E-05,9.41851E-05,-7.1368E-05,2.28171E-05,,,,
50,8.27766E-05,8.27766E-05,-5.48127E-05,2.79639E-05,,,,
51,6.87946E-05,6.87946E-05,-4.10538E-05,2.77409E-05,,,,
