time,e,p,i,pi,Kp,Ki,dt,fe
1,0,0,0,0,0.8,1,0.02,0
2,0,0,0,0,,,,
3,0,0,0,0,,,,
4,0,0,0,0,,,,
5,0,0,0,0,,,,
6,0,0,0,0,,,,
7,0,0,0,0,,,,
8,0,0,0,0,,,,
9,0,0,0,0,,,,
10,0,0,0,0,,,,
11,0,0,0,0,,,,
12,0,0,0,0,,,,
13,0,0,0,0,,,,
14,0,0,0,0,,,,
15,0,0,0,0,,,,
16,0,0,0,0,,,,
17,0,0,0,0,,,,
18,0,0,0,0,,,,
19,0,0,0,0,,,,
20,0,0,0,0,,,,
21,1,0.8,0.02,0.82,,,,
22,1,0.8,0.04,0.84,,,,
23,1,0.8,0.06,0.86,,,,
24,1,0.8,0.08,0.88,,,,
25,1,0.8,0.1,0.9,,,,
26,1,0.8,0.12,0.92,,,,
27,1,0.8,0.14,0.94,,,,
28,1,0.8,0.16,0.96,,,,
29,1,0.8,0.18,0.98,,,,
30,1,0.8,0.2,1,,,,
31,1,0.8,0.22,1.02,,,,
32,1,0.8,0.24,1.04,,,,
33,1,0.8,0.26,1.06,,,,
34,1,0.8,0.28,1.08,,,,
35,1,0.8,0.3,1.1,,,,
36,1,0.8,0.32,1.12,,,,
37,1,0.8,0.34,1.14,,,,
38,1,0.8,0.36,1.16,,,,
39,1,0.8,0.38,1.18,,,,
40,1,0.8,0.4,1.2,,,,
41,1,0.8,0.42,1.22,,,,
42,1,0.8,0.44,1.24,,,,
43,1,0.8,0.46,1.26,,,,
44,1,0.8,0.48,1.28,,,,
45,1,0.8,0.5,1.3,,,,
46,1,0.8,0.52,1.32,,,,
47,1,0.8,0.54,1.34,,,,
48,1,0.8,0.56,1.36,,,,
49,1,0.8,0.58,1.38,,,,
50,1,0.8,0.6,1.4,,,,
51,1,0.8,0.62,1.42,,,,
52,1,0.8,0.64,1.44,,,,
53,1,0.8,0.66,1.46,,,,
54,1,0.8,0.68,1.48,,,,
55,1,0.8,0.7,1.5,,,,
56,1,0.8,0.72,1.52,,,,
57,1,0.8,0.74,1.54,,,,
58,1,0.8,0.76,1.56,,,,
59,1,0.8,0.78,1.58,,,,
60,1,0.8,0.8,1.6,,,,
61,1,0.8,0.82,1.62,,,,
62,1,0.8,0.84,1.64,,,,
63,1,0.8,0.86,1.66,,,,
64,1,0.8,0.88,1.68,,,,
65,1,0.8,0.9,1.7,,,,
66,1,0.8,0.92,1.72,,,,
67,1,0.8,0.94,1.74,,,,
68,1,0.8,0.96,1.76,,,,
69,1,0.8,0.98,1.78,,,,
70,1,0.8,1,1.8,,,,
71,1,0.8,1.02,1.82,,,,
72,1,0.8,1.04,1.84,,,,
73,1,0.8,1.06,1.86,,,,
74,1,0.8,1.08,1.88,,,,
75,1,0.8,1.1,1.9,,,,
76,1,0.8,1.12,1.92,,,,
77,1,0.8,1.14,1.94,,,,
78,1,0.8,1.16,1.96,,,,
79,1,0.8,1.18,1.98,,,,
80,1,0.8,1.2,2,,,,
81,1,0.8,1.22,2.02,,,,
82,1,0.8,1.24,2.04,,,,
83,1,0.8,1.26,2.06,,,,
84,1,0.8,1.28,2.08,,,,
85,1,0.8,1.3,2.1,,,,
86,1,0.8,1.32,2.12,,,,
87,1,0.8,1.34,2.14,,,,
88,1,0.8,1.36,2.16,,,,
89,1,0.8,1.38,2.18,,,,
90,1,0.8,1.4,2.2,,,,
91,1,0.8,1.42,2.22,,,,
92,1,0.8,1.44,2.24,,,,
93,1,0.8,1.46,2.26,,,,
94,1,0.8,1.48,2.28,,,,
95,1,0.8,1.5,2.3,,,,
96,1,0.8,1.52,2.32,,,,
97,1,0.8,1.54,2.34,,,,
98,1,0.8,1.56,2.36,,,,
99,1,0.8,1.58,2.38,,,,
100,1,0.8,1.6,2.4,,,,
