time,e,p,i,d,pi,pd,pid,Kp,Ki,Kd,dt,fe
1,0,0,0,0,0,0,0,2,0.1,0.01,0.02,0.65
2,0,0,0,0,0,0,0,,,,,
3,0,0,0,0,0,0,0,,,,,
4,0,0,0,0,0,0,0,,,,,
5,0,0,0,0,0,0,0,,,,,
6,0,0,0,0,0,0,0,,,,,
7,0,0,0,0,0,0,0,,,,,
8,0,0,0,0,0,0,0,,,,,
9,0,0,0,0,0,0,0,,,,,
10,0,0,0,0,0,0,0,,,,,
11,0,0,0,0,0,0,0,,,,,
12,0,0,0,0,0,0,0,,,,,
13,0,0,0,0,0,0,0,,,,,
14,0,0,0,0,0,0,0,,,,,
15,0,0,0,0,0,0,0,,,,,
16,0,0,0,0,0,0,0,,,,,
17,0,0,0,0,0,0,0,,,,,
18,0,0,0,0,0,0,0,,,,,
19,0,0,0,0,0,0,0,,,,,
20,0,0,0,0,0,0,0,,,,,
21,1,2,0.002,0.5,2.002,2.5,2.502,,,,,
22,-0.6263,-1.2526,0.0007474,-0.81315,-1.2518526,-2.06575,-2.0650026,,,,,
23,0.71595169,1.43190338,0.002179303,0.671125845,1.434082683,2.103029225,2.105208528,,,,,
24,-0.652433853,-1.304867707,0.000874436,-0.684192772,-1.303993271,-1.989060479,-1.988186043,,,,,
25,0.639887074,1.279774149,0.00215421,0.646160464,1.281928359,1.925934613,1.928088823,,,,,
26,-0.61337066,-1.226741321,0.000927469,-0.626628867,-1.225813852,-1.853370188,-1.852442719,,,,,
27,0.590717107,1.181434215,0.002108903,0.602043884,1.183543117,1.783478099,1.785587001,,,,,
28,-0.569914443,-1.139828887,0.000969074,-0.580315775,-1.138859813,-1.720144662,-1.719175589,,,,,
29,0.547549689,1.095099378,0.002064173,0.558732066,1.097163551,1.653831444,1.655895618,,,,,
30,-0.528782462,-1.057564925,0.001006608,-0.538166076,-1.056558316,-1.595731,-1.594724392,,,,,
31,0.507788393,1.015576785,0.002022185,0.518285427,1.01759897,1.533862213,1.535884398,,,,,
32,-0.490536466,-0.981072932,0.001041112,-0.499162429,-0.98003182,-1.480235361,-1.479194249,,,,,
33,0.470939796,0.941879592,0.001982992,0.480738131,0.943862583,1.422617723,1.424600714,,,,,
34,-0.455050668,-0.910101337,0.00107289,-0.462995232,-0.909028447,-1.373096569,-1.372023679,,,,,
35,0.436764723,0.873529445,0.00194642,0.445907696,0.875475865,1.319437141,1.321383561,,,,,
36,-0.422134592,-0.844269184,0.001102151,-0.429449657,-0.843167033,-1.273718841,-1.27261669,,,,,
37,0.405066257,0.810132514,0.001912283,0.413600424,0.812044797,1.223732938,1.225645221,,,,,
38,-0.391603137,-0.783206274,0.001129077,-0.398334697,-0.782077197,-1.181540971,-1.180411894,,,,,
39,0.375664594,0.751329188,0.001880406,0.383633866,0.753209594,1.134963054,1.13684346,,,,,
40,-0.363283655,-0.72656731,0.001153839,-0.369474124,-0.725413471,-1.096041434,-1.094887595,,,,,
41,0.348393282,0.696786564,0.001850625,0.355838468,0.69863719,1.052625033,1.054475658,,,,,
42,-0.337015896,-0.674031791,0.001176594,-0.342704589,-0.672855198,-1.01673638,-1.015559786,,,,,
43,0.323097966,0.646195931,0.001822789,0.330056931,0.648018721,0.976252862,0.978075651,,,,,
44,-0.312651208,-0.625302415,0.001197487,-0.317874587,-0.624104928,-0.943177002,-0.941979515,,,,,
45,0.299635477,0.599270954,0.001796758,0.306143342,0.601067712,0.905414297,0.907211055,,,,,
46,-0.290051708,-0.580103417,0.001216655,-0.294843593,-0.578886762,-0.87494701,-0.873730355,,,,,
47,0.277873022,0.555746045,0.001772401,0.283962365,0.557518445,0.83970841,0.841480811,,,,,
48,-0.269089505,-0.538179009,0.001234222,-0.273481263,-0.536944788,-0.811660273,-0.810426051,,,,,
49,0.257687429,0.515374857,0.001749596,0.263388467,0.517124454,0.778763324,0.78051292,,,,,
50,-0.24964597,-0.499291939,0.001250305,-0.253666699,-0.498041635,-0.752958638,-0.751708334,,,,,
51,0.238964447,0.477928895,0.001728233,0.244305208,0.479657128,0.722234103,0.723962336,,,,,
52,-0.231611071,-0.463222143,0.001265011,-0.235287759,-0.461957131,-0.698509902,-0.697244891,,,,,
53,0.221598108,0.443196215,0.001708208,0.22660459,0.444904423,0.669800805,0.671509012,,,,,
54,-0.21488275,-0.429765501,0.001278442,-0.218240429,-0.428487059,-0.64800593,-0.646727488,,,,,
55,0.205490117,0.410980233,0.001689422,0.210186434,0.412669656,0.621166667,0.622856089,,,,,
56,-0.199366341,-0.398732682,0.00129069,-0.202428229,-0.397441993,-0.601160911,-0.599870222,,,,,
57,0.190549303,0.381098606,0.001671788,0.194957822,0.382770394,0.576056428,0.577728216,,,,,
58,-0.184974038,-0.369948075,0.00130184,-0.18776167,-0.368646235,-0.557709745,-0.556407905,,,,,
59,0.176691101,0.353382202,0.001655222,0.180832569,0.355037424,0.534214771,0.535869993,,,,,
60,-0.171624395,-0.34324879,0.001311974,-0.174157748,-0.341936816,-0.517406537,-0.516094564,,,,,
61,0.163837072,0.327674143,0.001639648,0.167730733,0.329313791,0.495404877,0.497044524,,,,,
62,-0.159241869,-0.318483738,0.001321164,-0.16153947,-0.317162574,-0.480023209,-0.478702045,,,,,
63,0.15191446,0.30382892,0.001624993,0.155578165,0.305453913,0.459407084,0.461032077,,,,,
64,-0.14775639,-0.295512781,0.00132948,-0.149835425,-0.2941833,-0.445348206,-0.444018726,,,,,
65,0.140855781,0.281711563,0.001611192,0.144306086,0.283322754,0.426017649,0.42762884,,,,,
66,-0.137102965,-0.274205929,0.001336986,-0.138979373,-0.272868944,-0.413185303,-0.411848317,,,,,
67,0.130598441,0.261196882,0.001598183,0.133850703,0.262795065,0.395047585,0.396645768,,,,,
68,-0.127221308,-0.254442616,0.00134374,-0.128909875,-0.253098876,-0.383352491,-0.382008751,,,,,
69,0.12108438,0.24216876,0.001585909,0.124152844,0.243754669,0.366321604,0.367907512,,,,,
70,-0.118055503,-0.236111006,0.001349798,-0.119569942,-0.234761209,-0.355680948,-0.35433115,,,,,
71,0.112259744,0.224519489,0.001574317,0.115157624,0.226093806,0.339677113,0.34125143,,,,,
72,-0.109553685,-0.21910737,0.00135521,-0.110906715,-0.21775216,-0.330014085,-0.328658875,,,,,
73,0.104074584,0.208149167,0.001563359,0.106814134,0.209712526,0.314963302,0.316526661,,,,,
74,-0.101667746,-0.203335492,0.001360024,-0.102871165,-0.201975468,-0.306206656,-0.304846633,,,,,
75,0.096482566,0.192965131,0.001552989,0.099075156,0.19451812,0.292040287,0.293593275,,,,,
76,-0.094353063,-0.188706127,0.001364283,-0.095417814,-0.187341844,-0.284123941,-0.282759659,,,,,
77,0.089440715,0.17888143,0.001543164,0.091896889,0.180424594,0.270778319,0.272321483,,,,,
78,-0.087568249,-0.175136498,0.001368027,-0.088504482,-0.17376847,-0.26364098,-0.262272952,,,,,
79,0.08290917,0.16581834,0.001533846,0.08523871,0.167352186,0.25105705,0.252590895,,,,,
80,-0.081274912,-0.162549824,0.001371296,-0.082092041,-0.161178528,-0.244641865,-0.243270569,,,,,
81,0.076850958,0.153701916,0.001524998,0.079062935,0.155226914,0.232764851,0.234289849,,,,,
82,-0.075437444,-0.150874887,0.001374123,-0.076144201,-0.149500764,-0.227019088,-0.225644965,,,,,
83,0.071231784,0.142463567,0.001516587,0.073334614,0.143980154,0.215798181,0.217314768,,,,,
84,-0.070022815,-0.14004563,0.001376541,-0.070627299,-0.13866909,-0.21067293,-0.209296389,,,,,
85,0.066019838,0.132039675,0.001508581,0.068021326,0.133548256,0.200061002,0.201569582,,,,,
86,-0.065000391,-0.130000782,0.00137858,-0.065510114,-0.128622202,-0.195510896,-0.194132316,,,,,
87,0.061185615,0.122371229,0.001500951,0.063093003,0.12387218,0.185464232,0.186965183,,,,,
88,-0.060341754,-0.120683509,0.001380268,-0.060763684,-0.119303241,-0.181447193,-0.180066926,,,,,
89,0.056701747,0.113403495,0.001493671,0.058521751,0.114897166,0.171925245,0.173418917,,,,,
90,-0.056020548,-0.112041097,0.00138163,-0.056361148,-0.110659467,-0.168402245,-0.167020615,,,,,
91,0.052542851,0.105085702,0.001486716,0.0542817,0.106572418,0.159367402,0.160854118,,,,,
92,-0.052012325,-0.104024651,0.001382691,-0.052277588,-0.10264196,-0.156302239,-0.154919548,,,,,
93,0.048685381,0.097370762,0.001480062,0.050348853,0.098850823,0.147719615,0.149199677,,,,,
94,-0.048294409,-0.096588818,0.001383473,-0.048489895,-0.095205345,-0.145078713,-0.14369524,,,,,
95,0.045107497,0.090214994,0.001473688,0.046700953,0.091688682,0.136915947,0.138389635,,,,,
96,-0.044845766,-0.089691531,0.001383996,-0.044976631,-0.088307535,-0.134668163,-0.133284166,,,,,
97,0.041788942,0.083577885,0.001467574,0.043317354,0.085045459,0.126895239,0.128362813,,,,,
