time,e,p,i,d,pi,pd,pid,Kp,Ki,Kd,dt,fe
1,0,0,0,0,0,0,0,0.8,0.3,0.02,0.02,0.4
2,0,0,0,0,0,0,0,,,,,
3,0,0,0,0,0,0,0,,,,,
4,0,0,0,0,0,0,0,,,,,
5,0,0,0,0,0,0,0,,,,,
6,0,0,0,0,0,0,0,,,,,
7,0,0,0,0,0,0,0,,,,,
8,0,0,0,0,0,0,0,,,,,
9,0,0,0,0,0,0,0,,,,,
10,0,0,0,0,0,0,0,,,,,
11,0,0,0,0,0,0,0,,,,,
12,0,0,0,0,0,0,0,,,,,
13,0,0,0,0,0,0,0,,,,,
14,0,0,0,0,0,0,0,,,,,
15,0,0,0,0,0,0,0,,,,,
16,0,0,0,0,0,0,0,,,,,
17,0,0,0,0,0,0,0,,,,,
18,0,0,0,0,0,0,0,,,,,
19,0,0,0,0,0,0,0,,,,,
20,0,0,0,0,0,0,0,,,,,
21,1,0.8,0.006,1,0.806,1.8,1.806,,,,,
22,0.2776,0.22208,0.0076656,-0.7224,0.2297456,-0.50032,-0.4926544,,,,,
23,0.47466176,0.379729408,0.010513571,0.19706176,0.390242979,0.576791168,0.587304739,,,,,
24,0.239739865,0.191791892,0.01195201,-0.234921895,0.203743901,-0.043130004,-0.031177994,,,,,
25,0.252211062,0.20176885,0.013465276,0.012471198,0.215234126,0.214240047,0.227705323,,,,,
26,0.161128933,0.128903146,0.01443205,-0.091082129,0.143335196,0.037821017,0.052253067,,,,,
27,0.140227706,0.112182165,0.015273416,-0.020901227,0.127455581,0.091280938,0.106554354,,,,,
28,0.097605964,0.078084772,0.015859052,-0.042621742,0.093943823,0.03546303,0.051322082,,,,,
29,0.077077132,0.061661705,0.016321515,-0.020528833,0.07798322,0.041132873,0.057454387,,,,,
30,0.054095377,0.043276302,0.016646087,-0.022981755,0.059922388,0.020294547,0.036940633,,,,,
31,0.039319124,0.031455299,0.016882002,-0.014776253,0.0483373,0.016679045,0.033561047,,,,,
32,0.025894705,0.020715764,0.01703737,-0.013424419,0.037753134,0.007291345,0.024328715,,,,,
