index,electronic,mess,mess_converted,ratio_el_me,time,acceleration
1,15.184645,936.7,15.61166667,0.972647272,0.133,
2,15.147842,936.7,15.61166667,0.970289869,0.267,-0.2760225
3,15.107566,919.5,15.325,0.985811811,0.400,-0.30207
4,15.071136,919.5,15.325,0.983434649,0.533,-0.273225
5,15.027652,919.5,15.325,0.980597194,0.667,-0.32613
6,14.991604,919.5,15.325,0.978244959,0.800,-0.27036
7,14.952152,919.5,15.325,0.975670604,0.933,-0.29589
8,14.916469,919.5,15.325,0.973342186,1.067,-0.2676225
9,14.880951,919.5,15.325,0.971024535,1.200,-0.266385
10,14.84208,919.5,15.325,0.968488091,1.333,-0.2915325
11,14.796401,901.5,15.025,0.984785424,1.467,-0.3425925
12,14.754485,901.5,15.025,0.981995674,1.600,-0.31437
13,14.719735,901.5,15.025,0.979682862,1.733,-0.260625
14,14.685151,901.5,15.025,0.977381098,1.867,-0.25938
15,14.647293,901.5,15.025,0.974861431,2.000,-0.283935
16,14.606217,901.5,15.025,0.972127587,2.133,-0.30807
17,14.572161,901.5,15.025,0.969860965,2.267,-0.25542
18,14.531505,901.5,15.025,0.967155075,2.400,-0.30492
19,14.494433,883.5,14.725,0.9843418,2.533,-0.27804
20,14.474295,883.5,14.725,0.982974194,2.667,-0.151035
21,14.43418,883.5,14.725,0.980249915,2.800,-0.3008625
22,14.387661,883.5,14.725,0.97709073,2.933,-0.3488925
23,14.348025,883.5,14.725,0.974398981,3.067,-0.29727
24,14.308607,883.5,14.725,0.971722037,3.200,-0.295635
25,14.26615,883.5,14.725,0.96883871,3.333,-0.3184275
26,14.22718,883.5,14.725,0.96619219,3.467,-0.292275
27,14.188421,866.2,14.43666667,0.982804502,3.600,-0.2906925
28,14.149876,866.2,14.43666667,0.980134565,3.733,-0.2890875
29,14.108352,866.2,14.43666667,0.977258278,3.867,-0.31143
30,14.092446,866.2,14.43666667,0.9761565,4.000,-0.119295
31,14.054419,866.2,14.43666667,0.973522443,4.133,-0.2852025
32,14.01974,866.2,14.43666667,0.971120296,4.267,-0.2600925
33,13.982102,866.2,14.43666667,0.968513184,4.400,-0.282285
34,13.944667,866.2,14.43666667,0.965920134,4.533,-0.2807625
35,13.907432,848.1,14.135,0.983900389,4.667,-0.2792625
36,13.864242,848.1,14.135,0.980844853,4.800,-0.323925
37,13.842746,848.1,14.135,0.979324089,4.933,-0.16122
38,13.806053,848.1,14.135,0.976728192,5.067,-0.2751975
39,13.76652,848.1,14.135,0.973931376,5.200,-0.2964975
40,13.65225,848.1,14.135,0.965847188,5.333,-0.857025
41,13.516437,848.1,14.135,0.956238911,5.467,-1.0185975
42,13.368984,831.3,13.855,0.964921256,5.600,-1.1058975
43,13.300703,831.3,13.855,0.959992999,5.733,-0.5121075
44,13.155127,831.3,13.855,0.94948589,5.867,-1.09182
45,13.009993,831.3,13.855,0.939010682,6.000,-1.088505
46,12.937281,831.3,13.855,0.933762613,6.133,-0.54534
47,12.783801,831.3,13.855,0.922685023,6.267,-1.1511
48,12.631367,831.3,13.855,0.91168293,6.400,-1.143255
49,12.480032,831.3,13.855,0.900760159,6.533,-1.1350125
50,12.400794,787.6,13.12666667,0.944702438,6.667,-0.594285
51,12.242899,787.6,13.12666667,0.93267387,6.800,-1.1842125
52,12.1619,787.6,13.12666667,0.926503301,6.933,-0.6074925
53,12.000769,787.6,13.12666667,0.914228212,7.067,-1.2084825
54,11.837122,787.6,13.12666667,0.901761453,7.200,-1.2273525
55,11.754749,787.6,13.12666667,0.895486211,7.333,-0.6177975
56,11.586949,787.6,13.12666667,0.882703073,7.467,-1.2585
57,11.49954,787.6,13.12666667,0.876044185,7.600,-0.6555675
58,11.326569,725.4,12.09,0.936854342,7.733,-1.2972825
59,11.238986,725.4,12.09,0.929610091,7.867,-0.6568725
60,11.063905,725.4,12.09,0.915128619,8.000,-1.3131075
61,10.97454,725.4,12.09,0.907736973,8.133,-0.6702375
62,10.790746,725.4,12.09,0.892534822,8.267,-1.378455
63,10.698391,725.4,12.09,0.884895864,8.400,-0.6926625
64,10.511268,725.4,12.09,0.869418362,8.533,-1.4034225
65,10.416667,725.4,12.09,0.861593631,8.667,-0.7095075
66,10.31864,661.8,11.03,0.9355068,8.800,-0.7352025
67,10.124737,661.8,11.03,0.917927199,8.933,-1.4542725
68,10.024058,661.8,11.03,0.908799456,9.067,-0.7550925
