index,electronic,mess,mess_converted,ratio_el_me,time,z
1,6.092212,352.3,5.871666667,1.037560942,1.067,0
2,6.003843,363.7,6.061666667,0.990460764,2.133,32
3,5.9682973,361.4,6.023333333,0.990862861,3.200,64
4,5.9371143,358.4,5.973333333,0.993936546,4.267,96
5,5.8995663,356.4,5.94,0.99319298,5.333,128
6,5.8668923,354.5,5.908333333,0.992986003,6.400,160
7,5.8351233,352.8,5.88,0.992367908,7.467,192
8,5.7972363,350.7,5.845,0.991828281,8.533,224
9,5.7656833,348.8,5.813333333,0.99180332,9.600,256
10,5.7323683,346.9,5.781666667,0.991473329,10.667,288
11,5.6999553,345,5.75,0.991296574,11.733,320
12,5.6679063,341,5.683333333,0.997285566,12.800,352
13,5.6346923,339.1,5.651666667,0.996996573,13.867,384
14,5.6023663,337.1,5.618333333,0.997158048,14.933,416
15,5.5694173,337.1,5.618333333,0.991293497,16.000,448
16,5.5363633,335.1,5.585,0.991291549,17.067,480
17,5.5032143,333.2,5.553333333,0.990974964,18.133,512
18,5.4695023,331.2,5.52,0.990851866,19.200,544
19,5.4418813,329.2,5.486666667,0.991837418,20.267,576
20,5.4079783,327.2,5.453333333,0.991683062,21.333,608
21,5.3744953,325.2,5.42,0.991604299,22.400,640
22,5.3400553,323.2,5.386666667,0.9913469,23.467,672
23,5.3119163,321.1,5.351666667,0.992572339,24.533,704
24,5.2778243,319.1,5.318333333,0.992383134,25.600,736
25,5.2437293,317,5.283333333,0.992503968,26.667,768
26,5.2148523,315,5.25,0.9933052,27.733,800
27,5.1802743,312.9,5.215,0.993341189,28.800,832
28,5.1516653,310.8,5.18,0.994529981,29.867,864
29,5.1162413,308.8,5.146666667,0.994088335,30.933,896
30,5.0875053,306.6,5.11,0.995597906,32.000,928
31,5.0578623,304.6,5.076666667,0.996295923,33.067,960
32,5.0225013,304.6,5.076666667,0.989330525,34.133,992
33,4.9924123,302.4,5.04,0.990557996,35.200,1024
34,4.9622873,300.3,5.005,0.991465994,36.267,1056
35,4.9263023,296.5,4.941666667,0.996890853,37.333,1088
36,4.8958173,294.7,4.911666667,0.996773118,38.400,1120
37,4.8649493,292.8,4.88,0.99691584,39.467,1152
38,4.8348423,291.1,4.851666667,0.99653225,40.533,1184
39,4.7984653,289.2,4.82,0.99553222,41.600,1216
40,4.7673533,287.3,4.788333333,0.99561851,42.667,1248
41,4.7359253,285.4,4.756666667,0.995639516,43.733,1280
42,4.7038463,283.6,4.726666667,0.995171996,44.800,1312
43,4.6732473,281.7,4.695,0.995366837,45.867,1344
44,4.6416643,279.9,4.665,0.994997706,46.933,1376
45,4.6159533,277.9,4.631666667,0.996607406,48.000,1408
46,4.5841283,276,4.6,0.99654963,49.067,1440
47,4.5520763,274.1,4.568333333,0.996441364,50.133,1472
48,4.5194883,272.1,4.535,0.996579559,51.200,1504
49,4.4867193,270.2,4.503333333,0.996310725,52.267,1536
50,4.4541053,268.3,4.471666667,0.996072747,53.333,1568
51,4.4282273,268.3,4.471666667,0.990285643,54.400,1600
52,4.3949093,266.3,4.438333333,0.99021614,55.467,1632
53,4.3614793,264.3,4.405,0.990120159,56.533,1664
54,4.3354603,262.3,4.371666667,0.991717949,57.600,1696
55,4.3017413,260.3,4.338333333,0.991565417,58.667,1728
56,4.2676683,258.3,4.305,0.991328293,59.733,1760
57,4.2410263,256.3,4.271666667,0.99282707,60.800,1792
58,4.2064883,254.2,4.236666667,0.992876861,61.867,1824
59,4.1808823,252.3,4.205,0.994264518,62.933,1856
60,4.1525483,250.3,4.171666667,0.995417091,64.000,1888
61,4.1188873,248.1,4.135,0.996103337,65.067,1920
62,4.0900463,248.1,4.135,0.989128489,66.133,1952
63,4.0555443,246.1,4.101666667,0.988755213,67.200,1984
64,4.0281003,244,4.066666667,0.990516467,68.267,2016
65,4.0002563,241.9,4.031666667,0.992209086,69.333,2048
66,3.9712793,239.8,3.996666667,0.993647865,70.400,2080
67,3.9355203,237.9,3.965,0.992565019,71.467,2112
68,3.9074713,236.2,3.936666667,0.992583734,72.533,2144
69,3.8790963,234.4,3.906666667,0.992942739,73.600,2176
70,3.8497073,232.8,3.88,0.992192603,74.667,2208
71,3.8209943,231,3.85,0.992466052,75.733,2240
72,3.7910953,229.3,3.821666667,0.992000515,76.800,2272
73,3.7625673,227.5,3.791666667,0.992325442,77.867,2304
74,3.7315663,225.8,3.763333333,0.991558804,78.933,2336
75,3.7023873,224,3.733333333,0.991710884,80.000,2368
76,3.6730133,222.2,3.703333333,0.991812772,81.067,2400
77,3.6424033,220.3,3.671666667,0.99202995,82.133,2432
78,3.6125083,218.7,3.645,0.991085953,83.200,2464
79,3.5814573,216.8,3.613333333,0.99117822,84.267,2496
80,3.5590233,214.8,3.58,0.994140587,85.333,2528
81,3.5280843,213.1,3.551666667,0.993360197,86.400,2560
82,3.4970903,211.3,3.521666667,0.993021382,87.467,2592
83,3.4660603,209.4,3.49,0.993140487,88.533,2624
84,3.4423883,207.5,3.458333333,0.995389388,89.600,2656
85,3.4104553,205.7,3.428333333,0.994785211,90.667,2688
86,3.3792923,203.7,3.395,0.995373284,91.733,2720
87,3.3546243,203.7,3.395,0.988107305,92.800,2752
