index,electronic,mess,mess_converted,ratio_el_me,time,acceleration
1,16.434393,977.8,16.297,1.008,0.267,
2,16.284523,977.8,16.297,0.999,0.533,-0.5620125
3,16.133196,977.8,16.297,0.990,0.800,-0.56747625
4,15.996928,983,16.383,0.976,1.067,-0.511005
5,15.862944,983,16.383,0.968,1.333,-0.50244
6,15.711412,983,16.383,0.959,1.600,-0.568245
7,15.609389,983,16.383,0.953,1.867,-0.38258625
8,15.524094,951.7,15.862,0.979,2.133,-0.31985625
9,15.424481,951.7,15.862,0.972,2.400,-0.37354875
10,15.344954,951.7,15.862,0.967,2.667,-0.29822625
11,15.269973,951.7,15.862,0.963,2.933,-0.28117875
12,15.195722,926.9,15.448,0.984,3.200,-0.27844125
13,15.114873,926.9,15.448,0.978,3.467,-0.30318375
14,15.027652,926.9,15.448,0.973,3.733,-0.32707875
15,14.948577,926.9,15.448,0.968,4.000,-0.29653125
16,14.87387,907.6,15.127,0.983,4.267,-0.28015125
17,14.789399,907.6,15.127,0.978,4.533,-0.31676625
18,14.709343,907.6,15.127,0.972,4.800,-0.30021
19,14.63015,907.6,15.127,0.967,5.067,-0.29697375
20,14.548417,888.8,14.813,0.982,5.333,-0.30649875
21,14.470942,888.8,14.813,0.977,5.600,-0.29053125
22,14.397605,888.8,14.813,0.972,5.867,-0.27501375
23,14.318442,888.8,14.813,0.967,6.133,-0.29686125
24,14.259639,870.9,14.515,0.982,6.400,-0.22051125
25,14.178765,870.9,14.515,0.977,6.667,-0.3032775
26,14.086094,870.9,14.515,0.970,6.933,-0.34751625
27,14.000896,870.9,14.515,0.965,7.200,-0.3194925
28,13.941557,853.3,14.222,0.980,7.467,-0.22252125
29,13.858093,853.3,14.222,0.974,7.733,-0.31299
30,13.775621,853.3,14.222,0.969,8.000,-0.30927
31,13.712155,834.9,13.915,0.985,8.267,-0.2379975
32,13.631408,834.9,13.915,0.980,8.533,-0.30280125
33,13.54573,834.9,13.915,0.973,8.800,-0.3212925
34,13.48145,834.9,13.915,0.969,9.067,-0.24105
35,13.394771,817.4,13.623,0.983,9.333,-0.32504625
36,13.331912,817.4,13.623,0.979,9.600,-0.23572125
37,13.244332,817.4,13.623,0.972,9.867,-0.328425
