index,electronic,mess,mess_converted,ratio_el_me,time
1,3.987241,221.2,3.687,1.082,0.267
2,4.093529,221.2,3.687,1.110,0.533
3,4.228115,239.5,3.992,1.059,0.800
4,4.374912,239.5,3.992,1.096,1.067
5,4.477398,239.5,3.992,1.122,1.333
6,4.524723,239.5,3.992,1.134,1.600
7,4.638907,263.9,4.398,1.055,1.867
8,4.771721,263.9,4.398,1.085,2.133
9,4.901192,263.9,4.398,1.114,2.400
10,4.968598,263.9,4.398,1.130,2.667
11,5.20573,289.3,4.822,1.080,2.933
12,5.257845,289.3,4.822,1.090,3.200
13,5.377269,289.3,4.822,1.115,3.467
14,5.531463,289.3,4.822,1.147,3.733
15,5.660207,320.8,5.347,1.059,4.000
16,5.775806,320.8,5.347,1.080,4.267
17,5.909607,320.8,5.347,1.105,4.533
18,5.998081,320.8,5.347,1.122,4.800
19,6.12565,350.6,5.843,1.048,5.067
20,6.216432,350.6,5.843,1.064,5.333
21,6.349045,350.6,5.843,1.087,5.600
22,6.533556,350.6,5.843,1.118,5.867
23,6.693799,378.8,6.313,1.060,6.133
24,6.903026,378.8,6.313,1.093,6.400
25,7.00437,378.8,6.313,1.109,6.667
26,7.181432,378.8,6.313,1.138,6.933
27,7.363336,414.6,6.910,1.066,7.200
28,7.551045,414.6,6.910,1.093,7.467
29,7.707485,414.6,6.910,1.115,7.733
30,7.959755,414.6,6.910,1.152,8.000
31,8.113722,456.3,7.605,1.067,8.267
32,8.280339,456.3,7.605,1.089,8.533
33,8.435686,456.3,7.605,1.109,8.800
34,8.583986,456.3,7.605,1.129,9.067
35,8.832674,497.4,8.290,1.065,9.333
36,8.963143,497.4,8.290,1.081,9.600
37,9.199293,497.4,8.290,1.110,9.867
38,9.296445,497.4,8.290,1.121,10.133
39,9.540527,538.6,8.977,1.063,10.400
40,9.612427,538.6,8.977,1.071,10.667
41,9.78397,538.6,8.977,1.090,10.933
42,9.847172,538.6,8.977,1.097,11.200
43,9.928514,575.7,9.595,1.035,11.467
44,10.024058,575.7,9.595,1.045,11.733
45,10.092039,575.7,9.595,1.052,12.000
46,10.199086,575.7,9.595,1.063,12.267
47,10.229133,599.8,9.997,1.023,12.533
48,10.200751,599.8,9.997,1.020,12.800
49,10.18247,599.8,9.997,1.019,13.067
50,10.155996,599.8,9.997,1.016,13.333
51,10.131302,599.8,9.997,1.013,13.600
52,10.1149,612.2,10.203,0.991,13.867
53,10.08878,612.2,10.203,0.989,14.133
54,10.06441,612.2,10.203,0.986,14.400
55,10.0466,612.2,10.203,0.985,14.667
56,10.0224,607.2,10.120,0.990,14.933
57,9.9984015,607.2,10.120,0.988,15.200
58,9.9808375,607.2,10.120,0.986,15.467
59,9.9569855,607.2,10.120,0.984,15.733
60,9.9332495,601.6,10.027,0.991,16.000
61,9.9159135,601.6,10.027,0.989,16.267
62,9.8923715,601.6,10.027,0.987,16.533
63,9.8689405,601.6,10.027,0.984,16.800
64,9.8518295,596.5,9.942,0.991,17.067
65,9.8285895,596.5,9.942,0.989,17.333
66,9.8054605,596.5,9.942,0.986,17.600
67,9.7885675,596.5,9.942,0.985,17.867
68,9.7640995,591.6,9.860,0.990,18.133
69,9.7488695,591.6,9.860,0.989,18.400
70,9.7245995,591.6,9.860,0.986,18.667
71,9.70045,586.8,9.780,0.992,18.933
72,9.68242,586.8,9.780,0.990,19.200
73,9.65549,586.8,9.780,0.987,19.467
74,9.6391125,586.8,9.780,0.986,19.733
75,9.61243,582,9.700,0.991,20.000
76,9.59472,582,9.700,0.989,20.267
77,9.5697445,582,9.700,0.987,20.533
78,9.5434425,582,9.700,0.984,20.800
79,9.5274395,576.8,9.613,0.991,21.067
80,9.5013685,576.8,9.613,0.988,21.333
81,9.4855065,576.8,9.613,0.987,21.600
82,9.4610965,576.8,9.613,0.984,21.867
83,9.4439405,571.6,9.527,0.991,22.133
84,9.4254265,571.6,9.527,0.989,22.400
85,9.4183245,571.6,9.527,0.989,22.667
86,9.4041535,571.6,9.527,0.987,22.933
87,9.3970835,566.7,9.445,0.995,23.200
88,9.3843845,566.7,9.445,0.994,23.467
89,9.3773445,566.7,9.445,0.993,23.733
90,9.3646985,566.7,9.445,0.991,24.000
91,9.3576895,563.8,9.397,0.996,24.267
